,Cleanshaven,Sideburns,Muttonchops,Moustache (with Sideburns),Moustache (with Muttonchops),Moustache,Goatee,Full Beard/Chinstrap
1898,173,2,1,0,1,80,0,2
1899,230,0,1,0,0,70,0,2
1900,197,0,0,0,0,59,0,0
1901,259,0,0,1,0,58,0,0
1902,254,1,0,0,0,43,0,0
1903,319,0,0,0,0,38,0,1
1904,368,0,0,0,0,22,0,0
1905,362,0,0,0,0,28,0,0
1906,391,0,0,0,0,16,0,0
1907,414,0,0,0,0,15,0,0
1908,475,0,0,0,0,12,0,0
1909,455,0,0,0,0,11,0,0
1910,494,0,0,0,0,12,0,1
1911,467,0,0,0,0,1,0,0
1912,475,0,0,0,0,7,1,0
1913,474,0,0,0,0,2,0,0
1914,610,0,0,0,0,3,0,0
1915,544,0,0,0,0,8,0,0
1916,537,0,0,0,0,12,0,0
1917,423,0,0,0,0,16,0,0
1918,307,0,0,0,0,28,0,0
1919,305,0,0,0,0,15,0,0
1920,399,0,0,0,0,26,0,0
1921,640,0,0,0,0,47,0,0
1922,689,0,0,0,0,61,0,0
1923,885,2,0,0,0,102,0,0
1924,686,1,0,0,0,63,0,0
1925,772,0,0,0,0,47,0,0
1926,744,0,0,0,0,47,0,0
1927,805,0,0,0,0,52,0,0
1928,748,0,0,0,0,65,0,0
1929,781,0,0,0,0,78,0,0
1930,824,2,0,0,0,99,0,0
1931,885,3,0,0,0,123,0,0
1932,882,2,0,0,0,144,0,0
1933,932,1,1,0,0,103,0,0
1934,821,0,0,0,0,91,0,0
1935,846,0,0,0,0,89,0,0
1936,916,0,0,0,0,82,0,0
1937,987,0,0,0,0,66,0,0
1938,1069,0,0,0,0,53,0,0
1939,1282,0,0,0,0,57,0,0
1940,1418,1,0,0,0,94,0,0
1941,1279,0,0,0,0,65,0,0
1942,1283,1,0,0,0,51,0,0
1943,1183,0,0,0,0,47,0,0
1944,735,0,0,0,0,44,0,0
1945,721,0,0,0,0,40,0,0
1946,691,0,0,0,0,43,0,0
1947,1429,0,0,0,0,74,0,1
1948,1044,0,0,0,0,103,0,0
1949,1357,0,0,0,0,127,1,0
1950,1380,1,0,1,0,116,0,3
1951,1111,0,0,0,0,83,0,0
1952,987,2,0,0,0,52,0,1
1953,889,0,0,0,0,44,0,0
1954,833,0,0,0,0,32,1,1
1955,801,1,0,0,0,33,0,1
1956,931,1,0,0,0,21,0,0
1957,962,2,0,0,0,16,0,0
1958,1024,0,0,0,0,17,0,3
1959,947,1,0,0,0,10,1,7
1960,924,1,0,0,0,13,1,7
1961,912,1,0,0,0,5,1,2
1962,971,2,0,0,0,17,1,0
1963,965,0,0,0,0,4,0,2
1964,1062,2,0,0,0,10,1,7
1965,1279,1,0,0,0,7,2,6
1966,1243,2,0,0,0,20,2,5
1967,1284,22,1,0,0,5,8,17
1968,1105,92,8,3,2,9,6,24
1969,849,415,90,22,11,17,10,29
1970,432,472,302,24,41,12,23,52
1971,247,383,458,27,97,15,25,68
1972,215,289,453,67,171,40,35,120
1973,99,208,453,69,181,27,14,100
1974,161,303,420,107,204,56,18,166
1975,218,318,254,127,129,98,14,153
1976,168,163,71,73,59,56,8,119
1977,237,168,59,95,41,96,7,111
1978,273,158,54,85,42,100,4,161
1979,267,135,38,71,34,86,3,120
1980,312,96,10,60,11,104,0,133
1981,477,65,6,46,6,157,4,113
1982,563,47,6,35,4,168,4,162
1983,579,44,1,28,2,162,4,116
1984,587,26,3,13,2,195,2,123
1985,639,6,0,5,0,145,1,75
1986,691,3,0,5,0,154,1,64
1987,604,4,1,0,0,126,2,53
1988,650,2,0,0,0,108,0,40
1989,651,1,0,1,0,66,0,36
1990,461,3,0,0,0,59,0,15
1991,482,4,1,0,0,27,0,16
1992,803,16,0,0,0,28,3,25
1993,931,41,1,0,0,40,5,22
1994,994,40,1,0,0,31,7,19
1995,742,54,0,0,0,18,17,19
1996,626,59,3,0,0,12,21,18
1997,642,70,2,0,0,11,41,19
1998,579,85,1,1,0,3,32,9
1999,533,84,0,0,0,8,42,13
2000,536,107,4,1,0,9,22,50
2001,347,62,9,0,0,6,49,10
2002,232,52,4,0,0,2,28,6
2003,231,43,3,0,0,2,29,7
2004,353,91,6,0,0,1,61,17
2005,325,110,5,0,0,1,34,17
2006,236,66,6,0,0,1,26,18
2007,227,89,10,0,0,0,21,25
2008,127,43,1,0,0,1,11,20