"province","year","fire_damage"
"Hà Nội",1995,0
"Hà Tây",1995,0
"Vĩnh Phúc",1995,0
"Bắc Ninh",1995,0
"Quảng Ninh",1995,0
"Hải Dương",1995,0
"Hải Phòng",1995,0
"Hà Nam",1995,0
"Ninh Bình",1995,0
"Hà Giang",1995,20
"Cao Bằng",1995,2
"Bắc Kạn",1995,0
"Tuyên Quang",1995,1
"Lào Cai",1995,30
"Yên Bái",1995,250
"Thái Nguyên",1995,12
"Lạng Sơn",1995,0
"Bắc Giang",1995,0
"Phú Thọ",1995,0
"Điện Biên",1995,0
"Lai Châu",1995,328
"Sơn La",1995,31
"Hoà Bình",1995,5
"Thanh Hoá",1995,1
"Nghệ An",1995,0
"Hà Tĩnh",1995,28
"Quảng Bình",1995,2
"Quảng Trị",1995,32
"Thừa Thiên - Huế",1995,31
"Đà Nẵng",1995,0
"Quảng Nam",1995,38
"Quảng Ngãi",1995,2
"Bình Định",1995,8
"Phú Yên",1995,26
"Khánh Hoà",1995,31
"Ninh Thuận",1995,1584
"Bình Thuận",1995,59
"Kon Tum",1995,58
"Gia Lai",1995,475
"Đắk Lắk",1995,513
"Đắk Nông",1995,0
"Lâm Đồng",1995,1298
"Bình Phước",1995,25
"Tây Ninh",1995,202
"Bình Dương",1995,0
"Đồng Nai",1995,235
"Bà Rịa - Vũng Tàu",1995,58
"TP.Hồ Chí Minh",1995,0
"Long An",1995,205
"Tiền Giang",1995,0
"Bến Tre",1995,0
"Đồng Tháp",1995,37
"An Giang",1995,79
"Kiên Giang",1995,0
"Cần Thơ",1995,0
"Hậu Giang",1995,0
"Sóc Trăng",1995,8
"Bạc Liêu",1995,0
"Cà Mau",1995,1743
"Hà Nội",1996,23.6
"Hà Tây",1996,24.4
"Vĩnh Phúc",1996,0
"Bắc Ninh",1996,0
"Quảng Ninh",1996,0
"Hải Dương",1996,2.4
"Hải Phòng",1996,18.2
"Hà Nam",1996,0
"Ninh Bình",1996,0
"Hà Giang",1996,68
"Cao Bằng",1996,163
"Bắc Kạn",1996,0
"Tuyên Quang",1996,59.4
"Lào Cai",1996,598
"Yên Bái",1996,415
"Thái Nguyên",1996,161
"Lạng Sơn",1996,58.1
"Bắc Giang",1996,22.8
"Phú Thọ",1996,9
"Điện Biên",1996,0
"Lai Châu",1996,1080
"Sơn La",1996,0
"Hoà Bình",1996,275
"Thanh Hoá",1996,20.2
"Nghệ An",1996,36.5
"Hà Tĩnh",1996,16
"Quảng Bình",1996,0
"Quảng Trị",1996,16.5
"Thừa Thiên - Huế",1996,38.7
"Đà Nẵng",1996,0
"Quảng Nam",1996,0.1
"Quảng Ngãi",1996,10
"Bình Định",1996,1.6
"Phú Yên",1996,10
"Khánh Hoà",1996,18.9
"Ninh Thuận",1996,0
"Bình Thuận",1996,40.4
"Kon Tum",1996,0
"Gia Lai",1996,408.3
"Đắk Lắk",1996,16
"Đắk Nông",1996,0
"Lâm Đồng",1996,194
"Bình Phước",1996,3.7
"Tây Ninh",1996,51
"Bình Dương",1996,0
"Đồng Nai",1996,251
"Bà Rịa - Vũng Tàu",1996,68
"TP.Hồ Chí Minh",1996,0
"Long An",1996,2
"Tiền Giang",1996,0
"Bến Tre",1996,0
"Đồng Tháp",1996,10
"An Giang",1996,7.3
"Kiên Giang",1996,0
"Cần Thơ",1996,0.3
"Hậu Giang",1996,0
"Sóc Trăng",1996,0
"Bạc Liêu",1996,0
"Cà Mau",1996,0
"Hà Nội",1997,0
"Hà Tây",1997,0
"Vĩnh Phúc",1997,8.5
"Bắc Ninh",1997,0
"Quảng Ninh",1997,2.9
"Hải Dương",1997,0
"Hải Phòng",1997,0
"Hà Nam",1997,0
"Ninh Bình",1997,0
"Hà Giang",1997,73
"Cao Bằng",1997,19
"Bắc Kạn",1997,1
"Tuyên Quang",1997,0
"Lào Cai",1997,0
"Yên Bái",1997,19.5
"Thái Nguyên",1997,1.6
"Lạng Sơn",1997,21.3
"Bắc Giang",1997,3
"Phú Thọ",1997,0
"Điện Biên",1997,0
"Lai Châu",1997,23
"Sơn La",1997,28.3
"Hoà Bình",1997,4
"Thanh Hoá",1997,48
"Nghệ An",1997,10.9
"Hà Tĩnh",1997,0
"Quảng Bình",1997,7
"Quảng Trị",1997,154
"Thừa Thiên - Huế",1997,27.5
"Đà Nẵng",1997,34
"Quảng Nam",1997,24.7
"Quảng Ngãi",1997,45
"Bình Định",1997,23.8
"Phú Yên",1997,107
"Khánh Hoà",1997,23
"Ninh Thuận",1997,190
"Bình Thuận",1997,43
"Kon Tum",1997,45.7
"Gia Lai",1997,42.9
"Đắk Lắk",1997,34.8
"Đắk Nông",1997,0
"Lâm Đồng",1997,56
"Bình Phước",1997,35.6
"Tây Ninh",1997,32
"Bình Dương",1997,31
"Đồng Nai",1997,57
"Bà Rịa - Vũng Tàu",1997,158
"TP.Hồ Chí Minh",1997,0
"Long An",1997,0
"Tiền Giang",1997,0
"Bến Tre",1997,0
"Đồng Tháp",1997,12
"An Giang",1997,3.7
"Kiên Giang",1997,243
"Cần Thơ",1997,0.5
"Hậu Giang",1997,0
"Sóc Trăng",1997,5.5
"Bạc Liêu",1997,0
"Cà Mau",1997,49.5
"Hà Nội",1998,36
"Hà Tây",1998,0
"Vĩnh Phúc",1998,78.7
"Bắc Ninh",1998,0
"Quảng Ninh",1998,0
"Hải Dương",1998,50.3
"Hải Phòng",1998,3.5
"Hà Nam",1998,0
"Ninh Bình",1998,1.6
"Hà Giang",1998,193
"Cao Bằng",1998,177
"Bắc Kạn",1998,30
"Tuyên Quang",1998,0
"Lào Cai",1998,0
"Yên Bái",1998,258.7
"Thái Nguyên",1998,6.7
"Lạng Sơn",1998,78.4
"Bắc Giang",1998,2.1
"Phú Thọ",1998,16
"Điện Biên",1998,0
"Lai Châu",1998,377.7
"Sơn La",1998,3784
"Hoà Bình",1998,127.4
"Thanh Hoá",1998,50
"Nghệ An",1998,156
"Hà Tĩnh",1998,74
"Quảng Bình",1998,39
"Quảng Trị",1998,202.8
"Thừa Thiên - Huế",1998,95
"Đà Nẵng",1998,0
"Quảng Nam",1998,76.7
"Quảng Ngãi",1998,0
"Bình Định",1998,19.6
"Phú Yên",1998,310
"Khánh Hoà",1998,120
"Ninh Thuận",1998,0
"Bình Thuận",1998,52
"Kon Tum",1998,373.5
"Gia Lai",1998,481.6
"Đắk Lắk",1998,52
"Đắk Nông",1998,0
"Lâm Đồng",1998,339
"Bình Phước",1998,613
"Tây Ninh",1998,207.2
"Bình Dương",1998,0
"Đồng Nai",1998,1106
"Bà Rịa - Vũng Tàu",1998,141.5
"TP.Hồ Chí Minh",1998,0
"Long An",1998,224
"Tiền Giang",1998,0
"Bến Tre",1998,0
"Đồng Tháp",1998,9.3
"An Giang",1998,29
"Kiên Giang",1998,8653
"Cần Thơ",1998,31
"Hậu Giang",1998,0
"Sóc Trăng",1998,57
"Bạc Liêu",1998,0
"Cà Mau",1998,1210
"Hà Nội",1999,47.5
"Hà Tây",1999,1
"Vĩnh Phúc",1999,77
"Bắc Ninh",1999,0
"Quảng Ninh",1999,263
"Hải Dương",1999,41
"Hải Phòng",1999,4
"Hà Nam",1999,0
"Ninh Bình",1999,0
"Hà Giang",1999,243
"Cao Bằng",1999,30
"Bắc Kạn",1999,260
"Tuyên Quang",1999,387
"Lào Cai",1999,44
"Yên Bái",1999,20
"Thái Nguyên",1999,2.8
"Lạng Sơn",1999,240
"Bắc Giang",1999,40.7
"Phú Thọ",1999,12
"Điện Biên",1999,0
"Lai Châu",1999,333
"Sơn La",1999,1625
"Hoà Bình",1999,45
"Thanh Hoá",1999,33.5
"Nghệ An",1999,52
"Hà Tĩnh",1999,6
"Quảng Bình",1999,0
"Quảng Trị",1999,35.2
"Thừa Thiên - Huế",1999,13.2
"Đà Nẵng",1999,0
"Quảng Nam",1999,10
"Quảng Ngãi",1999,4
"Bình Định",1999,17
"Phú Yên",1999,147
"Khánh Hoà",1999,36
"Ninh Thuận",1999,33
"Bình Thuận",1999,32
"Kon Tum",1999,108
"Gia Lai",1999,33
"Đắk Lắk",1999,14.4
"Đắk Nông",1999,0
"Lâm Đồng",1999,56
"Bình Phước",1999,362
"Tây Ninh",1999,6
"Bình Dương",1999,0
"Đồng Nai",1999,40
"Bà Rịa - Vũng Tàu",1999,50.4
"TP.Hồ Chí Minh",1999,0
"Long An",1999,0
"Tiền Giang",1999,0
"Bến Tre",1999,0
"Đồng Tháp",1999,2
"An Giang",1999,10.3
"Kiên Giang",1999,0
"Cần Thơ",1999,0
"Hậu Giang",1999,0
"Sóc Trăng",1999,0
"Bạc Liêu",1999,0
"Cà Mau",1999,0
"Hà Nội",2000,11
"Hà Tây",2000,0
"Vĩnh Phúc",2000,15.1
"Bắc Ninh",2000,0
"Quảng Ninh",2000,29.5
"Hải Dương",2000,1.5
"Hải Phòng",2000,2.3
"Hà Nam",2000,0
"Ninh Bình",2000,0
"Hà Giang",2000,6
"Cao Bằng",2000,47
"Bắc Kạn",2000,10.2
"Tuyên Quang",2000,2.1
"Lào Cai",2000,92.6
"Yên Bái",2000,3.4
"Thái Nguyên",2000,2.7
"Lạng Sơn",2000,268.2
"Bắc Giang",2000,5.8
"Phú Thọ",2000,2
"Điện Biên",2000,0
"Lai Châu",2000,47.3
"Sơn La",2000,20.5
"Hoà Bình",2000,0.1
"Thanh Hoá",2000,30
"Nghệ An",2000,7.6
"Hà Tĩnh",2000,1
"Quảng Bình",2000,0
"Quảng Trị",2000,6.2
"Thừa Thiên - Huế",2000,12
"Đà Nẵng",2000,0
"Quảng Nam",2000,0
"Quảng Ngãi",2000,2.9
"Bình Định",2000,16.7
"Phú Yên",2000,22
"Khánh Hoà",2000,12.8
"Ninh Thuận",2000,0
"Bình Thuận",2000,46.7
"Kon Tum",2000,33
"Gia Lai",2000,6
"Đắk Lắk",2000,23
"Đắk Nông",2000,0
"Lâm Đồng",2000,36
"Bình Phước",2000,20.2
"Tây Ninh",2000,1.5
"Bình Dương",2000,11
"Đồng Nai",2000,19.5
"Bà Rịa - Vũng Tàu",2000,72
"TP.Hồ Chí Minh",2000,0
"Long An",2000,31
"Tiền Giang",2000,0
"Bến Tre",2000,0
"Đồng Tháp",2000,4
"An Giang",2000,63
"Kiên Giang",2000,0
"Cần Thơ",2000,0
"Hậu Giang",2000,0
"Sóc Trăng",2000,0
"Bạc Liêu",2000,0
"Cà Mau",2000,0.5
"Hà Nội",2001,0
"Hà Tây",2001,0
"Vĩnh Phúc",2001,4
"Bắc Ninh",2001,0
"Quảng Ninh",2001,41.7
"Hải Dương",2001,0
"Hải Phòng",2001,2.8
"Hà Nam",2001,0
"Ninh Bình",2001,0
"Hà Giang",2001,2
"Cao Bằng",2001,15
"Bắc Kạn",2001,0
"Tuyên Quang",2001,0.2
"Lào Cai",2001,0
"Yên Bái",2001,8.5
"Thái Nguyên",2001,3.7
"Lạng Sơn",2001,10
"Bắc Giang",2001,0
"Phú Thọ",2001,0.3
"Điện Biên",2001,0
"Lai Châu",2001,117.3
"Sơn La",2001,113
"Hoà Bình",2001,0
"Thanh Hoá",2001,0
"Nghệ An",2001,0
"Hà Tĩnh",2001,2
"Quảng Bình",2001,90.7
"Quảng Trị",2001,84.2
"Thừa Thiên - Huế",2001,0
"Đà Nẵng",2001,6
"Quảng Nam",2001,0
"Quảng Ngãi",2001,1.5
"Bình Định",2001,15.7
"Phú Yên",2001,237
"Khánh Hoà",2001,51
"Ninh Thuận",2001,0
"Bình Thuận",2001,0
"Kon Tum",2001,126.8
"Gia Lai",2001,104.1
"Đắk Lắk",2001,18.6
"Đắk Nông",2001,0
"Lâm Đồng",2001,52
"Bình Phước",2001,0
"Tây Ninh",2001,23.3
"Bình Dương",2001,5
"Đồng Nai",2001,52
"Bà Rịa - Vũng Tàu",2001,47.4
"TP.Hồ Chí Minh",2001,0
"Long An",2001,0
"Tiền Giang",2001,0
"Bến Tre",2001,0.1
"Đồng Tháp",2001,0.4
"An Giang",2001,0.2
"Kiên Giang",2001,0
"Cần Thơ",2001,0
"Hậu Giang",2001,0
"Sóc Trăng",2001,0
"Bạc Liêu",2001,287
"Cà Mau",2001,0
"Hà Nội",2002,14.2
"Hà Tây",2002,3
"Vĩnh Phúc",2002,78.3
"Bắc Ninh",2002,0
"Quảng Ninh",2002,0
"Hải Dương",2002,0
"Hải Phòng",2002,0
"Hà Nam",2002,0
"Ninh Bình",2002,0
"Hà Giang",2002,15.6
"Cao Bằng",2002,132.6
"Bắc Kạn",2002,21.7
"Tuyên Quang",2002,16
"Lào Cai",2002,26.4
"Yên Bái",2002,9.5
"Thái Nguyên",2002,3.7
"Lạng Sơn",2002,68.2
"Bắc Giang",2002,40.8
"Phú Thọ",2002,20.6
"Điện Biên",2002,0
"Lai Châu",2002,162.4
"Sơn La",2002,45.5
"Hoà Bình",2002,0
"Thanh Hoá",2002,2.1
"Nghệ An",2002,15.4
"Hà Tĩnh",2002,12.1
"Quảng Bình",2002,22.3
"Quảng Trị",2002,206.4
"Thừa Thiên - Huế",2002,22.1
"Đà Nẵng",2002,0
"Quảng Nam",2002,157
"Quảng Ngãi",2002,93.6
"Bình Định",2002,202
"Phú Yên",2002,98
"Khánh Hoà",2002,104
"Ninh Thuận",2002,0
"Bình Thuận",2002,8
"Kon Tum",2002,144.8
"Gia Lai",2002,130
"Đắk Lắk",2002,62
"Đắk Nông",2002,0
"Lâm Đồng",2002,11.8
"Bình Phước",2002,16
"Tây Ninh",2002,52
"Bình Dương",2002,23
"Đồng Nai",2002,119
"Bà Rịa - Vũng Tàu",2002,36.3
"TP.Hồ Chí Minh",2002,0
"Long An",2002,1485
"Tiền Giang",2002,150
"Bến Tre",2002,0
"Đồng Tháp",2002,7.8
"An Giang",2002,0.5
"Kiên Giang",2002,4069
"Cần Thơ",2002,1.8
"Hậu Giang",2002,0
"Sóc Trăng",2002,0
"Bạc Liêu",2002,0
"Cà Mau",2002,4423
"Hà Nội",2003,73
"Hà Tây",2003,2
"Vĩnh Phúc",2003,52.4
"Bắc Ninh",2003,0
"Quảng Ninh",2003,355.6
"Hải Dương",2003,1.5
"Hải Phòng",2003,15.3
"Hà Nam",2003,0
"Ninh Bình",2003,0
"Hà Giang",2003,113.7
"Cao Bằng",2003,190.3
"Bắc Kạn",2003,14.5
"Tuyên Quang",2003,97.1
"Lào Cai",2003,110
"Yên Bái",2003,274.1
"Thái Nguyên",2003,5
"Lạng Sơn",2003,544
"Bắc Giang",2003,34.2
"Phú Thọ",2003,332
"Điện Biên",2003,236.6
"Lai Châu",2003,77
"Sơn La",2003,71
"Hoà Bình",2003,715
"Thanh Hoá",2003,165.2
"Nghệ An",2003,39.2
"Hà Tĩnh",2003,57
"Quảng Bình",2003,17
"Quảng Trị",2003,121
"Thừa Thiên - Huế",2003,20.8
"Đà Nẵng",2003,22.4
"Quảng Nam",2003,65
"Quảng Ngãi",2003,95.2
"Bình Định",2003,9
"Phú Yên",2003,17
"Khánh Hoà",2003,26.9
"Ninh Thuận",2003,293
"Bình Thuận",2003,0
"Kon Tum",2003,62.6
"Gia Lai",2003,103.6
"Đắk Lắk",2003,0
"Đắk Nông",2003,0
"Lâm Đồng",2003,21
"Bình Phước",2003,42
"Tây Ninh",2003,11.4
"Bình Dương",2003,15
"Đồng Nai",2003,24.3
"Bà Rịa - Vũng Tàu",2003,24.8
"TP.Hồ Chí Minh",2003,3.5
"Long An",2003,102.2
"Tiền Giang",2003,0
"Bến Tre",2003,0
"Đồng Tháp",2003,0
"An Giang",2003,16.2
"Kiên Giang",2003,726
"Cần Thơ",2003,0
"Hậu Giang",2003,0
"Sóc Trăng",2003,0
"Bạc Liêu",2003,0
"Cà Mau",2003,95
"Hà Nội",2004,91
"Hà Tây",2004,12.6
"Vĩnh Phúc",2004,42.6
"Bắc Ninh",2004,0
"Quảng Ninh",2004,295.3
"Hải Dương",2004,11.5
"Hải Phòng",2004,2
"Hà Nam",2004,1.2
"Ninh Bình",2004,3.9
"Hà Giang",2004,8.8
"Cao Bằng",2004,144.3
"Bắc Kạn",2004,37
"Tuyên Quang",2004,58.2
"Lào Cai",2004,6.5
"Yên Bái",2004,27.9
"Thái Nguyên",2004,45.7
"Lạng Sơn",2004,163.9
"Bắc Giang",2004,20.1
"Phú Thọ",2004,6.1
"Điện Biên",2004,839.2
"Lai Châu",2004,114.1
"Sơn La",2004,72
"Hoà Bình",2004,46.4
"Thanh Hoá",2004,37.9
"Nghệ An",2004,23.3
"Hà Tĩnh",2004,31
"Quảng Bình",2004,2.8
"Quảng Trị",2004,33.3
"Thừa Thiên - Huế",2004,223
"Đà Nẵng",2004,48.2
"Quảng Nam",2004,6
"Quảng Ngãi",2004,19.7
"Bình Định",2004,23
"Phú Yên",2004,25.8
"Khánh Hoà",2004,10.6
"Ninh Thuận",2004,19
"Bình Thuận",2004,524
"Kon Tum",2004,22.2
"Gia Lai",2004,25.2
"Đắk Lắk",2004,83
"Đắk Nông",2004,0
"Lâm Đồng",2004,26
"Bình Phước",2004,7
"Tây Ninh",2004,55.1
"Bình Dương",2004,11
"Đồng Nai",2004,18.5
"Bà Rịa - Vũng Tàu",2004,5
"TP.Hồ Chí Minh",2004,1
"Long An",2004,484.6
"Tiền Giang",2004,50
"Bến Tre",2004,0
"Đồng Tháp",2004,4.9
"An Giang",2004,13.6
"Kiên Giang",2004,1058
"Cần Thơ",2004,0.2
"Hậu Giang",2004,0
"Sóc Trăng",2004,0
"Bạc Liêu",2004,0
"Cà Mau",2004,0.2
"Hà Nội",2005,7.7
"Hà Tây",2005,6
"Vĩnh Phúc",2005,11.5
"Bắc Ninh",2005,0.9
"Quảng Ninh",2005,162.7
"Hải Dương",2005,4
"Hải Phòng",2005,1.7
"Hà Nam",2005,0
"Ninh Bình",2005,1.2
"Hà Giang",2005,66.5
"Cao Bằng",2005,64.9
"Bắc Kạn",2005,3.4
"Tuyên Quang",2005,32.1
"Lào Cai",2005,28.7
"Yên Bái",2005,190.1
"Thái Nguyên",2005,3.5
"Lạng Sơn",2005,85.8
"Bắc Giang",2005,17.2
"Phú Thọ",2005,8.9
"Điện Biên",2005,876.9
"Lai Châu",2005,156.4
"Sơn La",2005,238
"Hoà Bình",2005,208
"Thanh Hoá",2005,24
"Nghệ An",2005,126.5
"Hà Tĩnh",2005,132
"Quảng Bình",2005,80.9
"Quảng Trị",2005,282.1
